"","p.value","HR","Low 95%CI","High 95%CI"
"TMBIM6",0.0273449549848759,2.29400317433349,1.09723133695519,4.79611763409471
"FCGR1A",0.287974082468077,1.11781016820695,0.910230273291362,1.37272908714485
"SNTB2",0.905268310776409,1.02357158018874,0.697398026051565,1.50229673820815
"KCTD21",0.28123173939708,1.39820102871442,0.759964855935181,2.57244279315043
"CD86",0.0389096829781215,1.15779364255694,1.00748991899081,1.33052062703319
"OSTF1",0.23322947270676,1.22568776805423,0.877141835634598,1.71273384044082
"ADPRH",0.718455858959863,1.05653410587474,0.78350565366873,1.42470486543354
"MARCO",0.263379491324413,1.09470310015585,0.934185306669577,1.28280210460932
"CLEC4A",0.13949578428729,1.11994227353036,0.963702938438691,1.30151174808331
"HELZ2",0.00155938339249578,1.52304621296009,1.1735688422334,1.97659454080048
"NUDT16",0.0163883198351692,1.41941323493011,1.06634247546461,1.88938730084527
"FUCA1",0.0112219641642039,1.48100244788254,1.09326530092834,2.00625433622709
"FOS",0.594115594989948,0.952713307106637,0.797231228174005,1.1385186799782
"SGK1",0.325375427157391,1.10435136296222,0.906146948706265,1.34590966136096
"SPINT1",0.0123035234004841,1.28161115569971,1.05533138177657,1.55640889940076
"IL1R2",0.00109532603139467,1.24329204180446,1.09093344561359,1.41692887630272
"ZNF438",0.343640468478112,0.870027002002952,0.652207613375786,1.16059207020957
"C6orf47",0.00579091448195582,2.36809749690241,1.28371275161345,4.36848956106971
"IRAK1",4.37592684477972e-05,2.47851749806783,1.60375562485951,3.83041461741815
"KIF21B",0.0090543139473244,1.52218065694006,1.11030963789334,2.08683584586253
"LIPN",0.513412863441579,1.07288365159541,0.868809179565676,1.32489314907576
"CDC42EP3",0.0018339982692385,1.39162050988189,1.13042723312219,1.71316435660799
"KIAA0040",0.0445263611294528,1.44370877822966,1.00902162148833,2.06565943875712
"PITPNC1",0.715782484537496,1.07296340633247,0.734422043876667,1.56755979879318
"THBS1",0.001866901336866,1.19986440405196,1.06972481848696,1.34583639009822
"SOAT1",0.454096741951783,1.15045284255104,0.797084390435669,1.66047881355492
"ARHGEF40",0.815556888863162,0.969669966269248,0.748571777329328,1.25607172479727
"DESI1",8.53124652874632e-05,2.46507790647468,1.5716864926377,3.86629847202634
"RAB29",0.000769431642920397,1.79292101415447,1.27588019214913,2.51948872846907
"ARNTL",0.281041645757808,1.16668422408757,0.881495799214035,1.54413904178382
"IGSF6",0.229982338130265,1.11101377283914,0.935558349177403,1.31937425872323
"IL6R",0.0250161100305192,1.47468137652789,1.0499436309807,2.07123992003925
"OPRL1",0.00510930705518648,1.96301399599565,1.22429252530635,3.14746996230381
"ZFAND5",0.247795120611529,0.777251550514675,0.506952513593117,1.19166974534885
"GPCPD1",0.58901801551208,1.10723481170702,0.765148968847703,1.60226175316184
"KCNE3",0.964301467450229,1.00571696853642,0.7835324969535,1.29090576936482
"TLDC2",0.0331445327749463,1.21258798733235,1.01553435612827,1.44787777798922
"LYNX1",0.0209124651752921,1.66239604936942,1.07997193933144,2.55891891660615
"IL31RA",0.0633175617220474,1.35250002680755,0.983389465483691,1.86015448275591
"NID1",0.835822300709652,0.985679747162865,0.859988757738869,1.12974100559354
"RHBDF2",0.000143319026097027,1.63789671398855,1.27007883049358,2.1122355410427
"ADAMTSL4",0.428599582407472,1.08381042456222,0.887992910483692,1.32280902529944
"MED29",0.000492342158611522,5.69150274221251,2.14029544201308,15.1349214826831
"P2RY2",0.0661585026576465,0.842531235023606,0.701788085229545,1.01150033312153
"OTUD1",0.335056516521787,1.14880634400188,0.866468635835088,1.52314343697739
"TNFRSF8",0.146651629122954,1.27013952531501,0.919637749641619,1.75422813428017
