"","dynamicColors","mergedColors"
"TSC1","blue","black"
"TSC2","brown","pink"
"TSC22D1","grey","grey"
"TSC22D2","grey","grey"
"TSC22D3","grey","grey"
"TSC22D4","magenta","pink"
"TSEN15","red","black"
"TSEN2","green","black"
"TSEN34","grey","grey"
"TSEN54","pink","pink"
"TSFM","grey","grey"
"TSG101","grey","grey"
"TSGA10","grey","grey"
"TSGA10IP","grey","grey"
"TSHB","grey","grey"
"TSHR","grey","grey"
"TSHZ1","grey","grey"
"TSHZ2","greenyellow","greenyellow"
"TSHZ3","grey","grey"
"TSKS","grey","grey"
"TSKU","purple","purple"
"TSLP","grey","grey"
"TSN","black","black"
"TSNARE1","grey","grey"
"TSNAX","brown","pink"
"TSNAXIP1","grey","grey"
"TSPAN1","grey","grey"
"TSPAN10","grey","grey"
"TSPAN11","grey","grey"
"TSPAN13","turquoise","turquoise"
"TSPAN14","turquoise","turquoise"
"TSPAN15","grey","grey"
"TSPAN16","grey","grey"
"TSPAN17","purple","purple"
"TSPAN18","greenyellow","greenyellow"
"TSPAN2","grey","grey"
"TSPAN3","grey","grey"
"TSPAN31","grey","grey"
"TSPAN32","grey","grey"
"TSPAN33","grey","grey"
"TSPAN4","grey","grey"
"TSPAN5","purple","purple"
"TSPAN7","grey","grey"
"TSPAN9","grey","grey"
"TSPO","blue","black"
"TSPO2","purple","purple"
"TSPYL1","grey","grey"
"TSPYL2","grey","grey"
"TSPYL4","turquoise","turquoise"
"TSPYL5","grey","grey"
"TSPYL6","lightcyan","lightcyan"
"TSR1","green","black"
"TSR2","grey","grey"
"TSR3","magenta","pink"
"TSSC4","magenta","pink"
"TSSK3","grey","grey"
"TSSK4","yellow","black"
"TSSK6","grey","grey"
"TST","magenta","pink"
"TSTA3","magenta","pink"
"TSTD1","grey","grey"
"TSTD2","green","black"
"TTBK2","blue","black"
"TTC1","grey","grey"
"TTC12","grey","grey"
"TTC13","tan","tan"
"TTC14","yellow","black"
"TTC16","greenyellow","greenyellow"
"TTC17","blue","black"
"TTC19","grey","grey"
"TTC21A","grey","grey"
"TTC21B","blue","black"
"TTC22","greenyellow","greenyellow"
"TTC23","grey","grey"
"TTC24","grey","grey"
"TTC25","grey","grey"
"TTC26","green","black"
"TTC27","grey","grey"
"TTC28","grey","grey"
"TTC3","green","black"
"TTC30A","green","black"
"TTC30B","green","black"
"TTC31","brown","pink"
"TTC32","yellow","black"
"TTC33","red","black"
"TTC34","grey","grey"
"TTC36","grey","grey"
"TTC37","blue","black"
"TTC38","grey","grey"
"TTC39A","grey","grey"
"TTC39B","greenyellow","greenyellow"
"TTC39C","grey","grey"
"TTC4","green","black"
"TTC5","yellow","black"
"TTC7A","grey","grey"
"TTC7B","turquoise","turquoise"
"TTC8","turquoise","turquoise"
"TTC9","grey","grey"
"TTC9B","grey","grey"
"TTC9C","yellow","black"
"TTF1","black","black"
"TTF2","cyan","cyan"
"TTI1","green","black"
"TTI2","grey","grey"
"TTK","midnightblue","cyan"
"TTL","grey","grey"
"TTLL1","grey","grey"
"TTLL10","grey","grey"
"TTLL11","grey","grey"
"TTLL12","pink","pink"
"TTLL13P","grey","grey"
"TTLL3","grey","grey"
"TTLL4","grey","grey"
"TTLL5","green","black"
"TTLL6","grey","grey"
"TTLL7","grey","grey"
"TTN","lightcyan","lightcyan"
"TTPAL","blue","black"
"TTYH1","grey","grey"
"TTYH2","turquoise","turquoise"
"TTYH3","turquoise","turquoise"
"TUB","greenyellow","greenyellow"
"TUBA1A","grey","grey"
"TUBA1B","midnightblue","cyan"
"TUBA1C","grey","grey"
"TUBA3D","yellow","black"
"TUBA3E","grey","grey"
"TUBA4A","turquoise","turquoise"
"TUBA8","grey","grey"
"TUBB","cyan","cyan"
"TUBB1","purple","purple"
"TUBB2A","purple","purple"
"TUBB4A","purple","purple"
"TUBB4B","magenta","pink"
"TUBB6","grey","grey"
"TUBD1","red","black"
"TUBE1","yellow","black"
"TUBG1","purple","purple"
"TUBG2","grey","grey"
"TUBGCP2","magenta","pink"
"TUBGCP3","blue","black"
"TUBGCP4","green","black"
"TUBGCP5","green","black"
"TUBGCP6","brown","pink"
"TUFM","pink","pink"
"TUFT1","grey","grey"
"TULP2","grey","grey"
"TULP3","grey","grey"
"TULP4","grey","grey"
"TUSC1","grey","grey"
"TUSC2","magenta","pink"
"TUT1","brown","pink"
"TVP23A","grey","grey"
"TVP23B","black","black"
"TVP23C","grey","grey"
"TWF1","grey","grey"
"TWF2","magenta","pink"
"TWISTNB","grey","grey"
"TWSG1","black","black"
"TXK","grey","grey"
"TXLNA","grey","grey"
"TXLNB","grey","grey"
"TXLNG","green","black"
"TXN","tan","tan"
"TXN2","blue","black"
"TXNDC11","grey","grey"
"TXNDC12","turquoise","turquoise"
"TXNDC15","grey","grey"
"TXNDC16","red","black"
"TXNDC17","grey","grey"
"TXNDC5","grey","grey"
"TXNDC9","black","black"
"TXNIP","turquoise","turquoise"
"TXNL1","brown","pink"
"TXNL4A","grey","grey"
"TXNL4B","grey","grey"
"TXNRD1","black","black"
"TXNRD2","brown","pink"
"TXNRD3","grey","grey"
"TYK2","brown","pink"
"TYMP","turquoise","turquoise"
"TYMS","cyan","cyan"
"TYRO3","grey","grey"
"TYROBP","green","black"
"TYSND1","grey","grey"
"TYW1","grey","grey"
"TYW1B","grey","grey"
"TYW3","black","black"
"TYW5","blue","black"
"U2AF1","grey","grey"
"U2AF1L4","black","black"
"U2AF1L5","grey","grey"
"U2AF2","magenta","pink"
"U2SURP","red","black"
"UACA","grey","grey"
"UAP1","turquoise","turquoise"
"UAP1L1","grey","grey"
"UBA1","grey","grey"
"UBA2","black","black"
"UBA3","red","black"
"UBA5","green","black"
